snapshot,question_id,answer,gt,correct
28,43,E,B,False
55,224,A,A,True
75,493,A,D,False
75,583,E,E,True
77,22,A,E,False
81,722,D,C,False
86,267,B,C,False
97,288,A,D,False
97,375,B,B,True
102,107,E,A,False
103,7,A,D,False
103,410,A,E,False
107,670,D,C,False
111,18,D,D,True
111,54,E,A,False
116,120,E,E,True
118,599,C,B,False
126,683,D,C,False
126,1114,E,E,True
127,1024,D,E,False
131,72,A,A,True
132,827,E,C,False
135,730,C,A,False
148,566,D,C,False
150,135,D,A,False
151,995,A,A,True
152,1405,E,D,False
155,677,E,E,True
157,954,D,A,False
157,1250,C,B,False
160,631,A,C,False
167,1325,E,E,True
167,1490,A,B,False
169,1246,B,D,False
170,133,B,B,True
170,144,B,A,False
177,1380,E,B,False
179,1100,A,B,False
181,1625,B,A,False
182,449,B,B,True
183,1347,E,B,False
184,1131,B,A,False
188,492,C,E,False
188,750,A,A,True
191,205,E,C,False
195,39,E,D,False
195,1600,D,D,True
196,1497,B,D,False
198,1348,E,E,True
203,1622,C,E,False
204,1141,E,B,False
209,292,A,A,True
209,1772,A,A,True
211,1542,C,C,True
216,2136,B,E,False
219,191,E,E,True
219,367,B,D,False
219,1521,D,E,False
222,1729,A,C,False
223,534,E,A,False
226,85,E,E,True
227,1803,B,A,False
228,294,A,E,False
232,302,E,A,False
238,1361,E,E,True
240,1732,B,D,False
241,1722,E,E,True
245,1393,B,A,False
248,1121,C,E,False
251,830,B,A,False
256,1129,A,C,False
256,1559,B,D,False
258,2064,A,B,False
259,1691,A,D,False
261,1140,E,C,False
265,1257,E,A,False
267,2605,A,E,False
268,1021,D,A,False
271,250,E,A,False
271,2176,C,C,True
273,2677,A,E,False
274,16,E,E,True
274,2779,A,E,False
275,2236,D,D,True
276,777,D,D,True
276,1395,D,B,False
279,674,E,E,True
280,148,A,E,False
287,241,A,A,True
287,906,E,E,True
287,1168,A,D,False
288,2831,E,C,False
290,1786,D,E,False
291,2557,C,C,True
292,842,E,E,True
292,2115,D,B,False
293,434,C,D,False
296,975,B,B,True
298,2012,E,C,False
299,2522,D,D,True
304,587,D,D,True
305,819,E,B,False
306,195,D,A,False
306,2659,A,D,False
307,1594,C,C,True
307,1892,E,E,True
308,934,A,C,False
310,894,B,A,False
310,2088,A,B,False
311,1888,E,C,False
312,301,D,C,False
312,911,C,E,False
312,1367,B,B,True
313,1756,A,D,False
313,1837,E,C,False
314,2808,E,C,False
318,2059,A,E,False
319,164,A,E,False
321,2071,C,C,True
322,2783,A,C,False
323,967,E,D,False
323,2092,C,C,True
326,2135,E,E,True
328,595,A,E,False
329,1639,E,E,True
330,145,C,A,False
330,2311,A,C,False
330,2750,D,A,False
330,2863,A,D,False
331,536,B,C,False
332,1271,A,B,False
332,1940,A,B,False
333,2361,A,A,True
334,1518,B,A,False
335,664,C,B,False
335,2575,E,E,True
336,1598,A,E,False
336,3178,E,E,True
338,940,C,C,True
340,3305,C,B,False
341,2469,E,B,False
341,2916,D,C,False
343,97,B,D,False
343,752,E,B,False
345,2145,A,A,True
346,223,D,B,False
346,1723,E,D,False
346,2219,D,B,False
346,3146,B,C,False
347,3425,A,D,False
348,899,A,C,False
349,3261,A,B,False
351,14,B,B,True
351,2231,D,B,False
352,2001,A,E,False
353,1349,A,E,False
353,2283,E,E,True
355,1375,E,C,False
355,3513,C,C,True
356,3223,C,E,False
356,3322,B,B,True
358,1238,A,B,False
358,1480,A,A,True
358,1656,A,B,False
358,2588,C,C,True
358,2741,E,A,False
359,487,A,E,False
359,974,B,C,False
360,3306,C,B,False
361,858,E,C,False
361,1961,B,B,True
361,2009,B,A,False
361,3082,E,D,False
361,3315,C,C,True
362,2396,E,E,True
363,3478,E,B,False
364,2661,C,A,False
364,3180,B,B,True
365,891,A,B,False
366,1410,A,E,False
366,3342,D,D,True
366,3362,E,C,False
367,150,E,E,True
367,2938,D,E,False
367,3283,D,A,False
370,443,A,B,False
370,1391,B,B,True
371,1998,A,B,False
376,576,A,E,False
376,3676,E,A,False
377,121,D,D,True
377,1873,D,A,False
377,3533,E,D,False
379,2357,C,E,False
379,2556,D,B,False
379,2843,B,B,True
379,3431,E,D,False
379,3557,B,E,False
380,3137,D,B,False
381,252,E,A,False
381,2742,B,C,False
382,2995,C,A,False
382,3293,A,A,True
383,1566,D,B,False
384,518,D,E,False
384,2050,E,B,False
384,2601,D,D,True
384,2778,E,E,True
385,960,E,C,False
385,2259,D,B,False
387,1225,E,D,False
387,3565,E,E,True
388,110,D,D,True
388,1523,D,A,False
388,3079,A,B,False
388,3706,E,B,False
389,2414,E,C,False
389,3399,A,C,False
389,3532,D,E,False
390,2430,C,C,True
391,3593,E,B,False
392,1930,E,A,False
392,2450,A,B,False
393,1575,A,A,True
393,3488,B,A,False
393,3694,A,B,False
394,770,A,E,False
394,909,C,C,True
394,3463,A,B,False
395,2245,A,A,True
395,3031,A,C,False
397,880,B,E,False
399,1527,E,D,False
399,2128,B,C,False
399,3005,E,E,True
399,3653,C,A,False
400,1584,E,E,True
400,3882,E,B,False
401,1294,D,D,True
401,2992,A,E,False
401,3374,D,D,True
401,3539,E,D,False
401,3621,E,A,False
402,2781,A,C,False
403,1399,E,C,False
404,1464,E,E,True
404,3866,C,E,False
406,2949,A,B,False
