question_id,tries,answer,gt,correct
7,0,A,D,False
11,0,E,E,True
14,0,B,B,True
16,0,E,E,True
18,0,E,D,False
22,0,E,E,True
39,0,A,D,False
43,0,E,B,False
54,0,E,A,False
72,0,A,A,True
76,0,E,E,True
85,0,E,E,True
97,0,C,D,False
101,0,A,D,False
107,0,E,A,False
110,0,B,D,False
120,0,E,E,True
121,0,B,D,False
133,0,B,B,True
135,0,D,A,False
144,0,A,A,True
145,0,D,A,False
148,0,E,E,True
150,0,E,E,True
153,0,A,D,False
164,0,A,E,False
176,0,E,A,False
191,0,E,E,True
192,0,E,E,True
195,0,D,A,False
205,0,E,C,False
220,0,E,E,True
223,0,C,B,False
224,0,A,A,True
241,0,A,A,True
250,0,E,A,False
252,0,E,A,False
267,0,D,C,False
288,0,E,D,False
292,0,B,A,False
294,0,E,E,True
301,0,E,C,False
302,0,E,A,False
319,0,A,B,False
367,0,B,D,False
370,0,A,A,True
375,0,B,B,True
400,0,B,C,False
410,0,C,E,False
434,0,C,D,False
443,0,E,B,False
449,0,E,B,False
487,0,E,E,True
492,0,C,E,False
493,0,A,D,False
518,0,D,E,False
534,0,E,A,False
536,0,B,C,False
539,0,B,E,False
566,0,D,C,False
576,0,A,E,False
583,0,E,E,True
587,0,E,D,False
595,0,B,E,False
597,0,A,E,False
599,0,E,B,False
614,0,E,D,False
622,0,E,B,False
631,0,A,C,False
637,0,E,E,True
649,0,A,E,False
664,0,C,B,False
670,0,B,C,False
674,0,E,E,True
677,0,D,E,False
681,0,E,D,False
683,0,D,C,False
687,0,D,E,False
704,0,E,C,False
722,0,D,C,False
723,0,B,C,False
730,0,D,A,False
750,0,A,A,True
752,0,B,B,True
770,0,A,E,False
777,0,D,D,True
793,0,E,B,False
819,0,A,B,False
827,0,E,C,False
830,0,B,A,False
842,0,E,E,True
858,0,E,C,False
868,0,E,E,True
880,0,B,E,False
891,0,A,B,False
894,0,A,A,True
899,0,E,C,False
906,0,E,E,True
909,0,A,C,False
911,0,B,E,False
934,0,A,C,False
940,0,C,C,True
950,0,E,A,False
951,0,E,B,False
954,0,D,A,False
960,0,C,C,True
967,0,E,D,False
974,0,B,C,False
975,0,B,B,True
993,0,E,E,True
995,0,E,A,False
1021,0,D,A,False
1024,0,E,E,True
1034,0,E,B,False
1100,0,A,B,False
1111,0,C,C,True
1113,0,E,B,False
1114,0,E,E,True
1117,0,C,A,False
1121,0,C,E,False
1129,0,E,C,False
1131,0,C,A,False
1140,0,C,C,True
1141,0,E,B,False
1168,0,E,D,False
1207,0,C,C,True
1225,0,E,D,False
1238,0,C,B,False
1246,0,B,D,False
1250,0,A,B,False
1257,0,A,A,True
1271,0,A,B,False
1288,0,E,E,True
1294,0,E,D,False
1325,0,C,E,False
1347,0,E,B,False
1348,0,E,E,True
1349,0,E,E,True
1357,0,D,C,False
1361,0,E,E,True
1367,0,E,B,False
1375,0,E,C,False
1380,0,E,B,False
1391,0,B,B,True
1393,0,B,A,False
1395,0,D,B,False
1399,0,E,C,False
1405,0,E,D,False
1410,0,A,E,False
1464,0,E,E,True
1470,0,C,A,False
1480,0,C,A,False
1490,0,A,B,False
1491,0,A,A,True
1497,0,C,D,False
1518,0,B,A,False
1521,0,E,E,True
1523,0,E,A,False
1527,0,E,D,False
1542,0,D,C,False
1559,0,A,D,False
1566,0,D,B,False
1575,0,A,A,True
1584,0,D,E,False
1594,0,A,C,False
1598,0,E,E,True
1600,0,D,D,True
1622,0,C,E,False
1625,0,A,A,True
1639,0,E,E,True
1650,0,E,E,True
1656,0,A,B,False
1683,0,A,B,False
1691,0,E,D,False
1717,0,D,B,False
1722,0,E,E,True
1723,0,E,D,False
1729,0,B,C,False
1732,0,E,D,False
1756,0,E,D,False
1769,0,E,C,False
1772,0,A,A,True
1786,0,E,E,True
1803,0,A,A,True
1831,0,C,E,False
1837,0,A,C,False
1853,0,D,B,False
1873,0,E,A,False
1880,0,E,E,True
1883,0,A,A,True
1888,0,E,C,False
1892,0,E,E,True
1916,0,C,C,True
1921,0,E,C,False
1930,0,E,A,False
1940,0,E,B,False
1961,0,B,B,True
1965,0,C,A,False
1970,0,D,D,True
1998,0,B,B,True
2001,0,D,E,False
2009,0,E,A,False
2012,0,E,C,False
2025,0,E,B,False
2050,0,E,B,False
2059,0,D,E,False
2064,0,A,B,False
2068,0,E,B,False
2071,0,C,C,True
2088,0,E,B,False
2092,0,C,C,True
2115,0,E,B,False
2128,0,B,C,False
2135,0,E,E,True
2136,0,B,E,False
2145,0,A,A,True
2161,0,D,D,True
2176,0,B,C,False
2193,0,E,A,False
2201,0,E,A,False
2219,0,D,B,False
2231,0,D,B,False
2236,0,E,D,False
2245,0,A,A,True
2253,0,A,C,False
2259,0,A,B,False
2267,0,A,E,False
2277,0,A,B,False
2278,0,E,A,False
2281,0,C,D,False
2283,0,E,E,True
2286,0,C,D,False
2311,0,E,C,False
2321,0,B,D,False
2352,0,E,A,False
2357,0,E,E,True
2361,0,B,A,False
2371,0,A,E,False
2396,0,E,E,True
2397,0,B,D,False
2412,0,A,E,False
2414,0,E,C,False
2429,0,A,A,True
2430,0,A,C,False
2450,0,D,B,False
2469,0,D,B,False
2508,0,B,A,False
2522,0,D,D,True
2531,0,E,D,False
2532,0,A,D,False
2548,0,E,E,True
2556,0,E,B,False
2557,0,C,C,True
2575,0,E,E,True
2588,0,A,C,False
2601,0,D,D,True
2605,0,D,E,False
2613,0,B,D,False
2615,0,A,C,False
2624,0,A,D,False
2642,0,D,E,False
2647,0,E,E,True
2649,0,E,E,True
2650,0,E,D,False
2659,0,D,D,True
2661,0,B,A,False
2677,0,A,E,False
2702,0,E,A,False
2741,0,D,A,False
2742,0,A,C,False
2750,0,B,A,False
2778,0,E,E,True
2779,0,A,E,False
2781,0,B,C,False
2783,0,A,C,False
2785,0,B,D,False
2801,0,B,A,False
2808,0,B,C,False
2812,0,A,B,False
2831,0,E,C,False
2843,0,B,B,True
2856,0,D,A,False
2863,0,A,D,False
2901,0,A,D,False
2905,0,A,D,False
2907,0,E,D,False
2913,0,C,B,False
2916,0,E,C,False
2917,0,A,B,False
2928,0,D,A,False
2931,0,A,B,False
2935,0,B,A,False
2938,0,C,E,False
