snapshot,question_id,answer,gt,correct
28,43,E,B,False
55,224,A,A,True
75,493,D,D,True
75,583,E,E,True
77,22,E,E,True
81,722,D,C,False
86,267,A,C,False
97,288,A,D,False
97,375,B,B,True
102,107,A,A,True
103,7,D,D,True
103,410,E,E,True
107,670,C,C,True
111,18,D,D,True
111,54,C,A,False
116,120,E,E,True
118,599,B,B,True
126,683,D,C,False
126,1114,E,E,True
127,1024,E,E,True
131,72,A,A,True
132,827,C,C,True
135,730,C,A,False
148,566,C,C,True
150,135,B,A,False
151,995,A,A,True
152,1405,D,D,True
155,677,A,E,False
157,954,C,A,False
157,1250,B,B,True
160,631,C,C,True
167,1325,E,E,True
167,1490,B,B,True
169,1246,D,D,True
170,133,B,B,True
170,144,A,A,True
177,1380,B,B,True
179,1100,B,B,True
181,1625,A,A,True
182,449,B,B,True
183,1347,B,B,True
184,1131,B,A,False
188,492,C,E,False
188,750,A,A,True
191,205,C,C,True
195,39,B,D,False
195,1600,A,D,False
196,1497,D,D,True
198,1348,B,E,False
203,1622,E,E,True
204,1141,E,B,False
209,292,B,A,False
209,1772,C,A,False
211,1542,C,C,True
216,2136,B,E,False
219,191,E,E,True
219,367,B,D,False
219,1521,D,E,False
222,1729,C,C,True
223,534,A,A,True
226,85,E,E,True
227,1803,B,A,False
228,294,A,E,False
232,302,C,A,False
238,1361,E,E,True
240,1732,A,D,False
241,1722,E,E,True
245,1393,D,A,False
248,1121,E,E,True
251,830,A,A,True
256,1129,C,C,True
256,1559,D,D,True
258,2064,D,B,False
259,1691,B,D,False
261,1140,C,C,True
265,1257,A,A,True
267,2605,D,E,False
268,1021,A,A,True
271,250,E,A,False
271,2176,C,C,True
273,2677,E,E,True
274,16,E,E,True
274,2779,A,E,False
275,2236,B,D,False
276,777,D,D,True
276,1395,B,B,True
279,674,E,E,True
280,148,A,E,False
287,241,A,A,True
287,906,E,E,True
287,1168,D,D,True
288,2831,C,C,True
290,1786,E,E,True
291,2557,C,C,True
292,842,C,E,False
292,2115,C,B,False
293,434,D,D,True
296,975,B,B,True
298,2012,A,C,False
299,2522,A,D,False
304,587,C,D,False
305,819,B,B,True
306,195,A,A,True
306,2659,B,D,False
307,1594,B,C,False
307,1892,E,E,True
308,934,C,C,True
310,894,A,A,True
310,2088,B,B,True
311,1888,A,C,False
312,301,C,C,True
312,911,E,E,True
312,1367,B,B,True
313,1756,C,D,False
313,1837,C,C,True
314,2808,C,C,True
318,2059,C,E,False
319,164,A,E,False
321,2071,C,C,True
322,2783,C,C,True
323,967,C,D,False
323,2092,C,C,True
326,2135,C,E,False
328,595,E,E,True
329,1639,E,E,True
330,145,A,A,True
330,2311,E,C,False
330,2750,A,A,True
330,2863,D,D,True
331,536,A,C,False
332,1271,A,B,False
332,1940,B,B,True
333,2361,A,A,True
334,1518,A,A,True
335,664,B,B,True
335,2575,E,E,True
336,1598,E,E,True
336,3178,E,E,True
338,940,C,C,True
340,3305,B,B,True
341,2469,A,B,False
341,2916,C,C,True
343,97,D,D,True
343,752,B,B,True
345,2145,A,A,True
346,223,C,B,False
346,1723,C,D,False
346,2219,D,B,False
346,3146,C,C,True
347,3425,A,D,False
348,899,C,C,True
349,3261,B,B,True
351,14,B,B,True
351,2231,B,B,True
352,2001,C,E,False
353,1349,D,E,False
353,2283,A,E,False
355,1375,E,C,False
355,3513,C,C,True
356,3223,E,E,True
356,3322,B,B,True
358,1238,B,B,True
358,1480,A,A,True
358,1656,B,B,True
358,2588,C,C,True
358,2741,E,A,False
359,487,E,E,True
359,974,C,C,True
360,3306,B,B,True
361,858,C,C,True
361,1961,B,B,True
361,2009,E,A,False
361,3082,D,D,True
361,3315,C,C,True
362,2396,E,E,True
363,3478,A,B,False
364,2661,A,A,True
364,3180,B,B,True
365,891,B,B,True
366,1410,E,E,True
366,3342,D,D,True
366,3362,C,C,True
367,150,E,E,True
367,2938,D,E,False
367,3283,A,A,True
370,443,B,B,True
370,1391,B,B,True
371,1998,B,B,True
376,576,A,E,False
376,3676,A,A,True
377,121,D,D,True
377,1873,C,A,False
377,3533,A,D,False
379,2357,E,E,True
379,2556,B,B,True
379,2843,B,B,True
379,3431,D,D,True
379,3557,E,E,True
380,3137,B,B,True
381,252,E,A,False
381,2742,C,C,True
382,2995,A,A,True
382,3293,A,A,True
383,1566,B,B,True
384,518,E,E,True
384,2050,B,B,True
384,2601,A,D,False
384,2778,E,E,True
385,960,C,C,True
385,2259,A,B,False
387,1225,E,D,False
387,3565,E,E,True
388,110,D,D,True
388,1523,A,A,True
388,3079,B,B,True
388,3706,E,B,False
389,2414,B,C,False
389,3399,A,C,False
389,3532,B,E,False
390,2430,B,C,False
391,3593,D,B,False
392,1930,A,A,True
392,2450,A,B,False
393,1575,B,A,False
393,3488,A,A,True
393,3694,B,B,True
394,770,E,E,True
394,909,C,C,True
394,3463,B,B,True
395,2245,A,A,True
395,3031,D,C,False
397,880,E,E,True
399,1527,C,D,False
399,2128,E,C,False
399,3005,E,E,True
399,3653,A,A,True
400,1584,E,E,True
400,3882,A,B,False
401,1294,D,D,True
401,2992,E,E,True
401,3374,D,D,True
401,3539,D,D,True
401,3621,A,A,True
402,2781,C,C,True
403,1399,C,C,True
404,1464,E,E,True
404,3866,B,E,False
406,2949,B,B,True
