question_id,tries,answer,gt,correct
7,0,D,D,True
11,0,A,E,False
14,0,B,B,True
16,0,E,E,True
18,0,D,D,True
22,0,E,E,True
39,0,B,D,False
43,0,B,B,True
54,0,E,A,False
72,0,E,A,False
76,0,E,E,True
85,0,E,E,True
97,0,D,D,True
101,0,B,D,False
107,0,A,A,True
110,0,D,D,True
120,0,E,E,True
121,0,D,D,True
133,0,B,B,True
135,0,B,A,False
144,0,A,A,True
145,0,A,A,True
148,0,A,E,False
150,0,E,E,True
153,0,C,D,False
164,0,A,E,False
176,0,A,A,True
191,0,E,E,True
192,0,E,E,True
195,0,A,A,True
205,0,C,C,True
220,0,E,E,True
223,0,C,B,False
224,0,A,A,True
241,0,D,A,False
250,0,A,A,True
252,0,E,A,False
267,0,A,C,False
288,0,A,D,False
292,0,B,A,False
294,0,A,E,False
301,0,C,C,True
302,0,C,A,False
319,0,C,B,False
367,0,B,D,False
370,0,A,A,True
375,0,B,B,True
400,0,C,C,True
410,0,E,E,True
434,0,D,D,True
443,0,B,B,True
449,0,B,B,True
487,0,E,E,True
492,0,C,E,False
493,0,D,D,True
518,0,E,E,True
534,0,A,A,True
536,0,A,C,False
539,0,E,E,True
566,0,C,C,True
576,0,E,E,True
583,0,E,E,True
587,0,C,D,False
595,0,E,E,True
597,0,E,E,True
599,0,B,B,True
614,0,A,D,False
622,0,E,B,False
631,0,C,C,True
637,0,B,E,False
649,0,E,E,True
664,0,B,B,True
670,0,C,C,True
674,0,E,E,True
677,0,A,E,False
681,0,D,D,True
683,0,B,C,False
687,0,D,E,False
704,0,C,C,True
722,0,D,C,False
723,0,C,C,True
730,0,C,A,False
750,0,A,A,True
752,0,B,B,True
770,0,E,E,True
777,0,D,D,True
793,0,B,B,True
819,0,B,B,True
827,0,C,C,True
830,0,A,A,True
842,0,C,E,False
858,0,C,C,True
868,0,B,E,False
880,0,E,E,True
891,0,B,B,True
894,0,A,A,True
899,0,C,C,True
906,0,E,E,True
909,0,C,C,True
911,0,E,E,True
934,0,C,C,True
940,0,C,C,True
950,0,A,A,True
951,0,E,B,False
954,0,C,A,False
960,0,C,C,True
967,0,C,D,False
974,0,C,C,True
975,0,B,B,True
993,0,D,E,False
995,0,A,A,True
1021,0,A,A,True
1024,0,E,E,True
1034,0,C,B,False
1100,0,B,B,True
1111,0,C,C,True
1113,0,B,B,True
1114,0,E,E,True
1117,0,A,A,True
1121,0,E,E,True
1129,0,C,C,True
1131,0,B,A,False
1140,0,C,C,True
1141,0,E,B,False
1168,0,D,D,True
1207,0,C,C,True
1225,0,E,D,False
1238,0,B,B,True
1246,0,D,D,True
1250,0,B,B,True
1257,0,A,A,True
1271,0,A,B,False
1288,0,E,E,True
1294,0,D,D,True
1325,0,E,E,True
1347,0,B,B,True
1348,0,E,E,True
1349,0,D,E,False
1357,0,A,C,False
1361,0,E,E,True
1367,0,B,B,True
1375,0,E,C,False
1380,0,B,B,True
1391,0,B,B,True
1393,0,D,A,False
1395,0,B,B,True
1399,0,C,C,True
1405,0,D,D,True
1410,0,E,E,True
1464,0,E,E,True
1470,0,C,A,False
1480,0,A,A,True
1490,0,B,B,True
1491,0,A,A,True
1497,0,D,D,True
1518,0,A,A,True
1521,0,D,E,False
1523,0,D,A,False
1527,0,C,D,False
1542,0,C,C,True
1559,0,D,D,True
1566,0,B,B,True
1575,0,B,A,False
1584,0,E,E,True
1594,0,C,C,True
1598,0,E,E,True
1600,0,A,D,False
1622,0,E,E,True
1625,0,A,A,True
1639,0,E,E,True
1650,0,E,E,True
1656,0,B,B,True
1683,0,B,B,True
1691,0,B,D,False
1717,0,B,B,True
1722,0,A,E,False
1723,0,E,D,False
1729,0,C,C,True
1732,0,A,D,False
1756,0,C,D,False
1769,0,C,C,True
1772,0,C,A,False
1786,0,E,E,True
1803,0,B,A,False
1831,0,E,E,True
1837,0,C,C,True
1853,0,D,B,False
1873,0,C,A,False
1880,0,B,E,False
1883,0,A,A,True
1888,0,A,C,False
1892,0,E,E,True
1916,0,C,C,True
1921,0,C,C,True
1930,0,A,A,True
1940,0,B,B,True
1961,0,B,B,True
1965,0,A,A,True
1970,0,D,D,True
1998,0,B,B,True
2001,0,C,E,False
2009,0,A,A,True
2012,0,E,C,False
2025,0,E,B,False
2050,0,B,B,True
2059,0,E,E,True
2064,0,D,B,False
2068,0,E,B,False
2071,0,C,C,True
2088,0,B,B,True
2092,0,C,C,True
2115,0,C,B,False
2128,0,E,C,False
2135,0,C,E,False
2136,0,B,E,False
2145,0,A,A,True
2161,0,D,D,True
2176,0,C,C,True
2193,0,A,A,True
2201,0,D,A,False
2219,0,B,B,True
2231,0,B,B,True
2236,0,B,D,False
2245,0,A,A,True
2253,0,C,C,True
2259,0,D,B,False
2267,0,C,E,False
2277,0,B,B,True
2278,0,B,A,False
2281,0,D,D,True
2283,0,A,E,False
2286,0,D,D,True
2311,0,E,C,False
2321,0,D,D,True
2352,0,C,A,False
2357,0,E,E,True
2361,0,A,A,True
2371,0,A,E,False
2396,0,E,E,True
2397,0,D,D,True
2412,0,A,E,False
2414,0,B,C,False
2429,0,A,A,True
2430,0,B,C,False
2450,0,A,B,False
2469,0,B,B,True
2508,0,A,A,True
2522,0,A,D,False
2531,0,C,D,False
2532,0,D,D,True
2548,0,E,E,True
2556,0,B,B,True
2557,0,C,C,True
2575,0,E,E,True
2588,0,A,C,False
2601,0,A,D,False
2605,0,D,E,False
2613,0,D,D,True
2615,0,C,C,True
2624,0,A,D,False
2642,0,E,E,True
2647,0,E,E,True
2649,0,E,E,True
2650,0,D,D,True
2659,0,B,D,False
2661,0,A,A,True
2677,0,E,E,True
2702,0,E,A,False
2741,0,E,A,False
2742,0,C,C,True
2750,0,A,A,True
2778,0,E,E,True
2779,0,A,E,False
2781,0,C,C,True
2783,0,C,C,True
2785,0,D,D,True
2801,0,B,A,False
2808,0,C,C,True
2812,0,B,B,True
2831,0,C,C,True
2843,0,B,B,True
2856,0,A,A,True
2863,0,B,D,False
2901,0,A,D,False
2905,0,D,D,True
2907,0,B,D,False
2913,0,E,B,False
2916,0,C,C,True
2917,0,D,B,False
2928,0,A,A,True
2931,0,B,B,True
2935,0,A,A,True
2938,0,D,E,False
2949,0,B,B,True
2971,0,B,E,False
2980,0,B,C,False
2988,0,A,A,True
2992,0,E,E,True
2995,0,A,A,True
3000,0,C,C,True
3005,0,A,E,False
3016,0,C,C,True
3031,0,D,C,False
3034,0,A,A,True
3046,0,C,C,True
3078,0,E,E,True
3079,0,B,B,True
3082,0,D,D,True
3089,0,D,A,False
3100,0,B,B,True
3114,0,A,A,True
3134,0,D,D,True
3137,0,B,B,True
3146,0,C,C,True
3149,0,D,D,True
3178,0,E,E,True
3180,0,B,B,True
3191,0,B,B,True
3192,0,B,B,True
3199,0,B,B,True
3216,0,B,D,False
3217,0,A,A,True
3222,0,B,B,True
3223,0,E,E,True
3225,0,E,E,True
3238,0,C,C,True
3248,0,B,C,False
3261,0,B,B,True
3280,0,D,D,True
3283,0,A,A,True
3287,0,D,D,True
3293,0,A,A,True
3305,0,B,B,True
3306,0,B,B,True
3315,0,C,C,True
3322,0,B,B,True
3342,0,D,D,True
3347,0,C,D,False
3362,0,C,C,True
3373,0,C,E,False
3374,0,D,D,True
3399,0,A,C,False
3413,0,E,E,True
3425,0,A,D,False
3431,0,D,D,True
3463,0,B,B,True
3478,0,A,B,False
3488,0,A,A,True
3510,0,D,D,True
3513,0,C,C,True
3524,0,A,A,True
3525,0,E,B,False
3532,0,B,E,False
3533,0,A,D,False
3538,0,B,B,True
3539,0,D,D,True
3549,0,C,A,False
3550,0,C,B,False
3551,0,E,E,True
3554,0,E,E,True
3556,0,B,B,True
3557,0,E,E,True
3565,0,E,E,True
3566,0,A,B,False
3570,0,C,C,True
3576,0,E,E,True
3583,0,E,E,True
3593,0,D,B,False
3607,0,A,A,True
3621,0,A,A,True
3631,0,C,E,False
3643,0,D,D,True
3653,0,A,A,True
3673,0,B,C,False
3676,0,A,A,True
3693,0,B,B,True
3694,0,B,B,True
3701,0,A,A,True
3704,0,B,B,True
3706,0,E,B,False
3708,0,E,E,True
3713,0,A,A,True
3756,0,D,D,True
3758,0,E,B,False
3771,0,C,C,True
3807,0,C,C,True
3818,0,D,D,True
3831,0,D,E,False
3843,0,B,B,True
3849,0,B,E,False
3850,0,D,D,True
3866,0,B,E,False
3874,0,C,C,True
3882,0,E,B,False
3888,0,E,A,False
3893,0,C,E,False
3901,0,B,E,False
3922,0,A,A,True
3959,0,D,D,True
3977,0,A,C,False
3985,0,D,D,True
3995,0,D,A,False
3996,0,A,E,False
3997,0,C,C,True
4000,0,C,D,False
4004,0,C,C,True
4018,0,D,D,True
4033,0,B,B,True
4054,0,E,A,False
4073,0,A,A,True
4074,0,E,E,True
4076,0,B,E,False
4086,0,D,A,False
4105,0,D,D,True
4119,0,E,C,False
4131,0,E,E,True
4137,0,A,A,True
4142,0,C,C,True
4153,0,E,E,True
4164,0,C,B,False
4174,0,C,C,True
4183,0,C,B,False
4190,0,A,B,False
4200,0,E,A,False
4207,0,A,A,True
4237,0,A,B,False
4265,0,A,A,True
4272,0,E,E,True
4277,0,E,A,False
4303,0,C,B,False
4350,0,D,D,True
4360,0,B,B,True
4373,0,A,A,True
4385,0,E,B,False
4386,0,C,C,True
4391,0,B,B,True
4400,0,C,C,True
4402,0,E,B,False
4410,0,B,B,True
4414,0,D,C,False
4431,0,B,B,True
4438,0,A,A,True
4446,0,B,D,False
4458,0,D,A,False
4477,0,C,C,True
4481,0,A,E,False
4485,0,D,E,False
4508,0,E,E,True
4510,0,E,A,False
4520,0,C,E,False
4524,0,C,C,True
4532,0,B,E,False
4550,0,E,B,False
4562,0,A,A,True
4568,0,C,B,False
4570,0,B,B,True
4580,0,B,C,False
4587,0,D,D,True
4628,0,D,A,False
4643,0,D,D,True
4654,0,B,A,False
4657,0,B,A,False
4665,0,E,E,True
4668,0,B,B,True
4670,0,C,C,True
