snapshot,question_id,answer,gt,correct
28,43,E,B,False
55,224,A,A,True
75,493,B,D,False
75,583,E,E,True
77,22,C,E,False
81,722,D,C,False
86,267,E,C,False
97,288,E,D,False
97,375,B,B,True
102,107,C,A,False
103,7,A,D,False
103,410,A,E,False
107,670,A,C,False
111,18,D,D,True
111,54,E,A,False
116,120,E,E,True
118,599,E,B,False
126,683,B,C,False
126,1114,E,E,True
127,1024,E,E,True
131,72,A,A,True
132,827,A,C,False
135,730,A,A,True
148,566,A,C,False
150,135,D,A,False
151,995,A,A,True
152,1405,E,D,False
155,677,D,E,False
157,954,D,A,False
157,1250,A,B,False
160,631,A,C,False
167,1325,E,E,True
167,1490,B,B,True
169,1246,C,D,False
170,133,B,B,True
170,144,E,A,False
177,1380,E,B,False
179,1100,A,B,False
181,1625,B,A,False
182,449,A,B,False
183,1347,E,B,False
184,1131,B,A,False
188,492,C,E,False
188,750,A,A,True
191,205,D,C,False
195,39,B,D,False
195,1600,A,D,False
196,1497,B,D,False
198,1348,E,E,True
203,1622,E,E,True
204,1141,E,B,False
209,292,B,A,False
209,1772,A,A,True
211,1542,E,C,False
216,2136,B,E,False
219,191,E,E,True
219,367,D,D,True
219,1521,E,E,True
222,1729,B,C,False
223,534,E,A,False
226,85,E,E,True
227,1803,A,A,True
228,294,A,E,False
232,302,C,A,False
238,1361,D,E,False
240,1732,E,D,False
241,1722,E,E,True
245,1393,B,A,False
248,1121,C,E,False
251,830,C,A,False
256,1129,A,C,False
256,1559,B,D,False
258,2064,E,B,False
259,1691,A,D,False
261,1140,C,C,True
265,1257,B,A,False
267,2605,A,E,False
268,1021,D,A,False
271,250,E,A,False
271,2176,B,C,False
273,2677,E,E,True
274,16,E,E,True
274,2779,A,E,False
275,2236,D,D,True
276,777,D,D,True
276,1395,D,B,False
279,674,D,E,False
280,148,E,E,True
287,241,A,A,True
287,906,E,E,True
287,1168,E,D,False
288,2831,C,C,True
290,1786,A,E,False
291,2557,C,C,True
292,842,D,E,False
292,2115,D,B,False
293,434,C,D,False
296,975,B,B,True
298,2012,E,C,False
299,2522,C,D,False
304,587,D,D,True
305,819,A,B,False
306,195,D,A,False
306,2659,D,D,True
307,1594,C,C,True
307,1892,E,E,True
308,934,A,C,False
310,894,D,A,False
310,2088,A,B,False
311,1888,E,C,False
312,301,D,C,False
312,911,C,E,False
312,1367,B,B,True
313,1756,A,D,False
313,1837,C,C,True
314,2808,E,C,False
318,2059,A,E,False
319,164,A,E,False
321,2071,A,C,False
322,2783,A,C,False
323,967,E,D,False
323,2092,C,C,True
326,2135,C,E,False
328,595,D,E,False
329,1639,E,E,True
330,145,D,A,False
330,2311,E,C,False
330,2750,B,A,False
330,2863,A,D,False
331,536,E,C,False
332,1271,A,B,False
332,1940,E,B,False
333,2361,A,A,True
334,1518,B,A,False
335,664,C,B,False
335,2575,E,E,True
336,1598,E,E,True
336,3178,A,E,False
338,940,C,C,True
340,3305,A,B,False
341,2469,D,B,False
341,2916,E,C,False
343,97,D,D,True
343,752,B,B,True
345,2145,A,A,True
346,223,C,B,False
346,1723,E,D,False
346,2219,D,B,False
346,3146,B,C,False
347,3425,A,D,False
348,899,A,C,False
349,3261,A,B,False
351,14,C,B,False
351,2231,B,B,True
352,2001,D,E,False
353,1349,E,E,True
353,2283,E,E,True
355,1375,E,C,False
355,3513,C,C,True
356,3223,B,E,False
356,3322,B,B,True
358,1238,C,B,False
358,1480,A,A,True
358,1656,A,B,False
358,2588,A,C,False
358,2741,D,A,False
359,487,B,E,False
359,974,B,C,False
360,3306,A,B,False
361,858,E,C,False
361,1961,B,B,True
361,2009,E,A,False
361,3082,E,D,False
361,3315,D,C,False
362,2396,C,E,False
363,3478,E,B,False
364,2661,C,A,False
364,3180,B,B,True
365,891,A,B,False
366,1410,A,E,False
366,3342,D,D,True
366,3362,C,C,True
367,150,E,E,True
367,2938,D,E,False
367,3283,A,A,True
370,443,A,B,False
370,1391,B,B,True
371,1998,A,B,False
376,576,A,E,False
376,3676,A,A,True
377,121,A,D,False
377,1873,B,A,False
377,3533,E,D,False
379,2357,E,E,True
379,2556,D,B,False
379,2843,E,B,False
379,3431,C,D,False
379,3557,A,E,False
380,3137,E,B,False
381,252,E,A,False
381,2742,D,C,False
382,2995,A,A,True
382,3293,E,A,False
383,1566,D,B,False
384,518,B,E,False
384,2050,A,B,False
384,2601,D,D,True
384,2778,E,E,True
385,960,B,C,False
385,2259,A,B,False
387,1225,E,D,False
387,3565,E,E,True
388,110,D,D,True
388,1523,B,A,False
388,3079,A,B,False
388,3706,E,B,False
389,2414,C,C,True
389,3399,E,C,False
389,3532,D,E,False
390,2430,A,C,False
391,3593,C,B,False
392,1930,E,A,False
392,2450,D,B,False
393,1575,A,A,True
393,3488,E,A,False
393,3694,A,B,False
394,770,E,E,True
394,909,A,C,False
394,3463,A,B,False
395,2245,C,A,False
395,3031,A,C,False
397,880,B,E,False
399,1527,E,D,False
399,2128,D,C,False
399,3005,E,E,True
399,3653,C,A,False
400,1584,D,E,False
400,3882,A,B,False
401,1294,E,D,False
401,2992,E,E,True
401,3374,E,D,False
401,3539,C,D,False
401,3621,E,A,False
402,2781,A,C,False
403,1399,D,C,False
404,1464,E,E,True
404,3866,A,E,False
406,2949,C,B,False
